100,100
10.0,10.0,K
10.0,14.5,K
10.0,19.0,K
10.0,23.5,K
10.0,28.0,K
10.0,32.5,K
10.0,37.0,K
10.0,41.5,K
10.0,46.0,K
10.0,50.5,K
10.0,55.0,K
10.0,59.5,K
10.0,64.0,K
10.0,68.5,K
10.0,73.0,K
10.0,77.5,K
10.0,82.0,K
10.0,86.5,K
10.0,91.0,K
10.0,95.5,K
14.5,10.0,K
14.5,14.5,K
14.5,19.0,K
14.5,23.5,K
14.5,28.0,K
14.5,32.5,K
14.5,37.0,K
14.5,41.5,K
14.5,46.0,K
14.5,50.5,K
14.5,55.0,K
14.5,59.5,K
14.5,64.0,K
14.5,68.5,K
14.5,73.0,K
14.5,77.5,K
14.5,82.0,K
14.5,86.5,K
14.5,91.0,K
14.5,95.5,K
19.0,10.0,K
19.0,14.5,K
19.0,19.0,K
19.0,23.5,K
19.0,28.0,K
19.0,32.5,K
19.0,37.0,K
19.0,41.5,K
19.0,46.0,K
19.0,50.5,K
19.0,55.0,K
19.0,59.5,K
19.0,64.0,K
19.0,68.5,K
19.0,73.0,K
19.0,77.5,K
19.0,82.0,K
19.0,86.5,K
19.0,91.0,K
19.0,95.5,K
23.5,10.0,K
23.5,14.5,K
23.5,19.0,K
23.5,23.5,K
23.5,28.0,K
23.5,32.5,K
23.5,37.0,K
23.5,41.5,K
23.5,46.0,K
23.5,50.5,K
23.5,55.0,K
23.5,59.5,K
23.5,64.0,K
23.5,68.5,K
23.5,73.0,K
23.5,77.5,K
23.5,82.0,K
23.5,86.5,K
23.5,91.0,K
23.5,95.5,K
90.0,10.0,K
90.0,14.5,K
90.0,19.0,K
90.0,23.5,K
90.0,28.0,K
90.0,32.5,K
90.0,37.0,K
90.0,41.5,K
90.0,46.0,K
90.0,50.5,K
90.0,55.0,K
90.0,59.5,K
90.0,64.0,K
90.0,68.5,K
90.0,73.0,K
90.0,77.5,K
90.0,82.0,K
90.0,86.5,K
90.0,91.0,K
90.0,95.5,K
85.5,10.0,K
85.5,14.5,K
85.5,19.0,K
85.5,23.5,K
85.5,28.0,K
85.5,32.5,K
85.5,37.0,K
85.5,41.5,K
85.5,46.0,K
85.5,50.5,K
85.5,55.0,K
85.5,59.5,K
85.5,64.0,K
85.5,68.5,K
85.5,73.0,K
85.5,77.5,K
85.5,82.0,K
85.5,86.5,K
85.5,91.0,K
85.5,95.5,K
81.0,10.0,K
81.0,14.5,K
81.0,19.0,K
81.0,23.5,K
81.0,28.0,K
81.0,32.5,K
81.0,37.0,K
81.0,41.5,K
81.0,46.0,K
81.0,50.5,K
81.0,55.0,K
81.0,59.5,K
81.0,64.0,K
81.0,68.5,K
81.0,73.0,K
81.0,77.5,K
81.0,82.0,K
81.0,86.5,K
81.0,91.0,K
81.0,95.5,K
76.5,10.0,K
76.5,14.5,K
76.5,19.0,K
76.5,23.5,K
76.5,28.0,K
76.5,32.5,K
76.5,37.0,K
76.5,41.5,K
76.5,46.0,K
76.5,50.5,K
76.5,55.0,K
76.5,59.5,K
76.5,64.0,K
76.5,68.5,K
76.5,73.0,K
76.5,77.5,K
76.5,82.0,K
76.5,86.5,K
76.5,91.0,K
76.5,95.5,K
