200,200
47.47,150.47,C
17.06,59.14,C
36.24,15.96,C
26.14,33.61,C
14.02,153.66,C
78.19,187.10,C
38.39,13.56,C
3.67,95.93,C
15.07,63.78,C
59.10,135.26,C
46.97,61.18,C
31.55,45.04,C
38.92,22.49,C
57.18,139.96,C
29.88,67.17,C
63.86,40.81,C
44.13,94.85,C
22.36,7.48,C
2.73,191.18,C
65.80,108.97,C
76.99,63.41,C
25.85,14.59,C
13.83,168.96,C
78.91,98.87,C
46.71,119.64,C
34.78,65.69,C
64.48,6.91,C
47.37,158.74,C
73.42,142.43,C
20.99,155.55,C
79.85,52.54,C
22.51,55.00,C
44.91,153.18,C
38.13,60.14,C
17.12,5.26,C
45.54,77.37,C
31.31,128.95,C
51.21,100.04,C
68.23,88.74,C
13.98,181.20,C
2.79,86.54,C
72.30,73.57,C
6.45,107.86,C
68.74,42.94,C
13.80,117.50,C
31.54,36.31,C
50.19,13.51,C
34.54,13.00,C
20.91,72.50,C
37.80,146.68,C
32.91,22.79,C
42.97,98.32,C
9.38,160.53,C
54.73,94.20,C
75.46,57.45,C
12.12,150.79,C
78.37,146.76,C
36.08,189.13,C
54.00,43.34,C
17.93,16.37,C
2.19,139.32,S
51.07,5.59,S
25.24,133.26,S
33.66,100.51,S
4.11,18.42,S
67.10,81.48,S
53.90,176.60,S
15.51,99.34,S
60.13,131.86,S
70.93,104.59,S
19.24,25.49,S
33.55,113.07,S
3.87,23.38,S
13.43,47.10,S
33.58,17.99,S
37.42,91.33,S
42.96,177.33,S
48.10,30.27,S
67.99,180.21,S
23.04,37.26,S
22.60,100.37,S
8.86,129.54,S
46.10,192.24,S
57.44,95.49,S
23.30,43.15,S
75.00,48.12,S
63.64,172.41,S
35.85,104.40,S
68.13,71.13,S
73.88,178.15,S
39.56,186.30,S
49.68,52.48,S
52.78,117.94,S
75.07,159.10,S
41.58,152.53,S
10.71,156.26,S
53.21,89.13,S
69.13,133.27,S
65.04,67.22,S
7.56,94.59,S
4.47,177.38,S
12.95,11.80,S
64.13,192.29,S
49.49,47.96,S
66.29,148.75,S
37.48,115.76,S
40.29,158.90,S
38.49,192.58,S
61.01,58.20,S
10.64,32.97,S
22.25,104.69,S
52.78,166.06,S
43.57,46.37,S
34.36,32.02,S
52.26,126.49,S
27.70,42.42,S
75.51,136.58,S
48.35,110.79,S
27.74,73.60,S
43.22,15.25,S
