210,210
80.20,117.03,K
60.65,50.56,K
19.73,180.75,K
4.69,64.69,K
19.18,95.77,K
50.64,74.67,K
20.68,57.96,K
25.59,65.08,K
75.49,41.32,K
17.28,68.59,K
56.04,201.31,K
26.85,197.28,K
74.30,52.68,K
21.73,67.55,K
65.45,130.58,K
65.72,81.53,K
61.49,203.45,K
64.16,25.29,K
12.92,96.54,K
58.50,97.11,K
72.86,119.83,K
25.30,146.66,K
47.36,120.40,K
59.76,70.17,K
70.05,117.19,K
11.30,149.13,K
9.12,33.19,K
71.81,91.74,K
30.97,40.17,K
78.13,90.32,K
80.38,144.29,K
31.61,160.41,K
79.00,173.20,K
74.76,72.40,K
63.10,199.74,K
66.70,23.63,K
42.01,165.01,K
52.72,36.05,K
37.03,54.27,K
64.93,203.38,C
76.30,98.34,C
79.70,57.68,C
10.12,29.25,C
15.89,98.08,C
60.62,149.27,C
47.87,168.04,C
28.89,200.67,C
40.03,192.15,C
10.14,23.42,C
82.91,36.73,C
42.46,31.36,C
73.03,110.63,C
15.15,141.40,C
5.05,111.89,C
70.49,111.04,C
12.15,35.94,C
75.91,131.42,C
72.91,116.69,C
39.60,132.18,C
18.90,203.38,C
11.19,170.39,C
66.14,15.64,C
59.85,30.16,C
71.81,98.73,C
18.92,146.67,C
55.51,185.58,C
39.92,10.51,C
2.11,81.74,C
10.00,121.23,C
39.32,94.56,C
44.47,95.39,C
62.44,117.23,C
62.55,74.05,C
55.25,75.82,C
68.38,152.80,C
44.97,88.45,C
20.75,89.47,C
18.06,155.77,C
83.02,196.07,P
41.03,59.34,P
76.95,39.12,P
83.69,107.98,P
34.52,82.12,P
4.07,115.69,P
58.30,24.29,P
38.18,73.61,P
12.50,12.05,P
29.38,182.94,P
53.80,163.01,P
8.15,198.04,P
57.31,71.33,P
17.63,133.91,P
6.63,80.59,P
84.89,44.58,P
49.86,165.75,P
57.70,145.63,P
80.76,61.60,P
62.13,191.69,P
56.96,57.98,P
82.69,54.34,P
27.24,159.41,P
62.18,17.23,P
79.72,137.73,P
72.10,76.69,P
37.88,90.83,P
26.87,171.43,P
28.61,99.31,P
43.07,131.93,P
63.88,53.76,P
64.13,60.80,P
46.19,21.87,P
64.40,167.36,P
41.52,64.72,P
8.38,185.89,P
24.52,43.35,P
4.51,16.08,P
10.93,166.27,P
25.98,86.59,L
8.81,85.66,L
12.58,159.42,L
22.85,6.18,L
37.65,118.27,L
22.77,142.41,L
23.90,21.40,L
9.03,130.68,L
40.34,138.11,L
36.31,125.47,L
25.94,124.03,L
15.39,101.58,L
61.49,146.14,L
4.46,97.68,L
18.60,53.65,L
69.09,99.89,L
58.32,111.18,L
81.19,30.32,L
79.49,66.96,L
60.65,154.23,L
43.78,150.93,L
13.83,17.47,L
70.09,32.76,L
8.64,104.22,L
34.20,192.36,L
56.51,67.07,L
48.18,102.37,L
59.58,41.10,L
67.46,97.27,L
22.84,164.76,L
17.03,136.92,L
74.38,9.44,L
50.18,178.54,L
35.17,101.84,L
27.59,73.99,L
24.79,83.10,L
28.50,106.51,L
84.80,24.85,L
11.40,141.35,L
