150,150
42.86,15.74,K
7.20,79.27,K
20.03,142.90,K
41.76,95.94,K
15.58,67.11,K
23.52,14.62,K
7.99,73.26,K
46.15,9.98,K
23.31,101.44,K
47.47,112.13,K
54.00,94.57,K
19.91,83.80,C
23.83,80.77,C
19.18,114.46,C
7.24,52.58,C
24.57,107.69,C
17.15,60.50,C
18.99,136.25,C
36.70,89.95,C
12.34,68.76,C
43.41,38.36,C
13.32,96.66,C
31.77,62.92,P
40.18,38.11,P
51.54,129.78,P
31.37,124.55,P
31.20,11.51,P
9.02,94.64,P
34.11,11.62,P
15.08,72.72,P
37.53,58.97,P
34.18,60.50,P
10.55,139.51,P
18.33,99.41,L
51.30,125.46,L
8.33,6.43,L
32.16,49.76,L
17.46,89.99,L
51.94,47.78,L
49.50,136.40,L
11.23,105.43,L
18.68,65.23,L
18.13,72.12,L
3.29,106.79,L
47.31,95.56,S
20.36,22.40,S
38.78,119.23,S
35.32,6.56,S
27.17,121.43,S
27.44,79.20,S
44.99,134.88,S
33.67,47.60,S
45.28,54.91,S
9.20,108.38,S
45.31,141.35,S
