100,100
16.03,55.20,K
9.01,12.89,K
18.53,50.39,K
2.17,11.93,K
2.75,36.85,K
15.75,9.97,K
5.04,40.36,K
10.65,10.15,K
24.22,45.69,K
21.29,36.51,K
26.52,81.79,C
19.33,11.91,C
18.02,16.71,C
13.58,90.91,C
28.72,56.34,C
26.73,29.46,C
19.88,74.69,C
28.30,33.68,C
3.95,50.87,C
26.90,44.43,C
28.15,76.88,C
6.59,89.74,C
28.81,79.59,C
20.95,49.11,C
2.04,69.29,C
16.20,24.08,P
13.71,49.58,P
24.48,59.50,P
5.72,10.61,P
15.39,66.91,P
2.85,7.76,P
10.88,31.01,P
13.91,36.05,P
7.32,74.33,P
24.38,66.56,P
4.03,92.64,P
14.45,29.84,P
5.81,6.35,P
8.74,60.94,P
18.50,20.58,P
14.24,13.51,L
17.02,90.30,L
24.30,40.10,L
7.84,50.21,L
22.59,54.44,L
16.62,80.95,L
22.94,90.15,L
4.19,87.80,L
28.81,46.26,L
5.50,13.68,L
18.93,42.78,L
15.90,7.09,L
6.04,57.59,L
2.72,77.90,L
13.73,61.73,L
2.60,58.40,S
9.26,15.73,S
28.48,12.71,S
28.77,36.32,S
14.72,18.12,S
12.01,63.77,S
11.71,87.38,S
24.13,14.19,S
25.57,87.46,S
11.24,41.85,S
8.06,65.64,S
6.66,79.79,S
25.99,7.61,S
25.64,24.47,S
25.35,33.87,S
