100,100
10,10,C
10,13,C
10,16,C
10,19,C
10,22,C
10,25,C
10,28,C
10,31,C
10,34,C
10,37,C
10,40,C
10,43,C
10,46,C
10,49,C
10,52,C
10,55,C
10,58,C
10,61,C
10,64,C
10,67,C
10,70,C
10,73,C
10,76,C
10,79,C
10,82,C
10,85,C
10,88,C
10,91,C
10,94,C
10,97,C
30,10,K
30,13,K
30,16,K
30,19,K
30,22,K
30,25,K
30,28,K
30,31,K
30,34,K
30,37,K
30,40,K
30,43,K
30,46,K
30,49,K
30,52,K
30,55,K
30,58,K
30,61,K
30,64,K
30,67,K
20,10,P
20,13,P
20,16,P
20,19,P
20,22,P
20,25,P
20,28,P
20,31,P
20,34,P
20,37,P
20,40,P
20,43,P
20,46,P
20,49,P
20,52,P
20,55,P
20,58,P
20,61,P
20,64,P
20,67,P
20,70,P
20,73,P
20,76,P
20,79,P
20,82,P
20,85,P
20,88,P
20,91,P
20,94,P
20,97,P
