150,150
8,53,C
13,53,K
18,53,P
23,53,C
28,53,K
33,53,P
38,53,C
43,53,K
48,53,P
53,53,C

6,58,K
11,58,P
16,58,C
21,58,K
26,58,P
31,58,C
36,58,K
41,58,P
46,58,C
51,58,K

8,63,P
13,63,C
18,63,K
23,63,P
28,63,C
33,63,K
38,63,P
43,63,C
48,63,K
53,63,P

6,68,C
11,68,K
16,68,P
21,68,C
26,68,K
31,68,P
36,68,C
41,68,K
46,68,P
51,68,C

8,73,K
13,73,P
18,73,C
23,73,K
28,73,P
33,73,C
38,73,K
43,73,P
48,73,C
53,73,K

6,78,P
11,78,C
16,78,K
21,78,P
26,78,C
31,78,K
36,78,P
41,78,C
46,78,K
51,78,P

8,83,C
13,83,K
18,83,P
23,83,C
28,83,K
33,83,P
38,83,C
43,83,K
48,83,P
53,83,C

6,88,K
11,88,P
16,88,C
21,88,K
26,88,P
31,88,C
36,88,K
41,88,P
46,88,C
51,88,K

8,93,P
13,93,C
18,93,K
23,93,P
28,93,C
33,93,K
38,93,P
43,93,C
48,93,K
53,93,P

6,98,C
11,98,K
16,98,P
21,98,C
26,98,K
31,98,P
36,98,C
41,98,K
46,98,P
51,98,C
