150,150
2.42,50.17,K
2.91,79.98,K
33.16,71.75,K
47.87,76.00,K
39.60,75.31,K
10.65,54.50,K
30.53,111.49,K
10.05,8.94,K
46.33,72.10,K
16.30,124.79,K
42.81,124.60,K
6.48,63.62,K
20.88,30.09,K
52.01,9.57,K
17.78,65.86,K
24.21,97.48,K
41.70,59.80,K
43.69,67.80,K
18.09,57.76,K
41.80,16.15,K
27.25,27.10,C
47.17,32.85,C
40.42,39.71,C
29.00,101.03,C
27.66,21.93,C
12.85,108.59,C
8.04,33.33,C
28.21,36.60,C
48.07,106.59,C
54.42,70.08,C
8.09,90.17,C
54.14,7.34,C
40.27,69.11,C
26.68,43.97,C
15.85,15.07,C
15.85,41.24,C
19.37,70.32,C
18.52,98.64,C
43.03,90.43,C
27.79,14.98,C
47.13,67.31,P
21.38,129.07,P
54.12,81.90,P
9.26,129.14,P
5.71,19.37,P
4.96,96.99,P
29.71,134.07,P
37.38,72.58,P
50.26,20.54,P
20.92,111.85,P
17.53,37.33,P
45.76,11.62,P
41.64,97.66,P
47.52,118.47,P
22.36,16.84,P
19.65,47.40,P
8.94,37.90,P
54.33,90.52,P
43.00,41.23,P
51.13,71.56,P
21.83,134.85,L
38.30,128.32,L
51.26,56.00,L
15.56,129.57,L
28.48,143.60,L
23.63,86.54,L
27.07,32.12,L
26.73,131.89,L
25.03,90.13,L
43.80,7.35,L
8.23,24.58,L
40.69,135.19,L
18.41,60.48,L
11.41,40.21,L
53.65,138.77,L
42.30,79.02,L
35.30,81.12,L
29.09,65.28,L
31.78,60.75,L
14.17,121.43,L
14.66,55.28,S
32.90,132.96,S
36.19,6.32,S
39.71,103.39,S
4.06,57.44,S
3.88,47.58,S
52.50,60.52,S
12.32,87.11,S
14.25,38.47,S
33.39,7.46,S
52.62,108.70,S
36.53,103.77,S
19.67,93.13,S
50.17,49.43,S
54.55,20.99,S
42.61,83.71,S
13.25,24.66,S
44.54,111.91,S
49.76,13.05,S
24.93,66.70,S
