175,175
57.65,78.13,K
14.37,97.48,K
53.38,62.63,K
25.05,7.40,K
38.16,69.39,K
15.63,168.78,K
15.01,148.62,K
45.81,151.30,K
50.62,78.12,K
10.09,133.60,K
25.23,52.82,K
37.74,108.60,K
21.56,82.34,K
48.95,83.07,K
59.36,15.18,K
42.39,100.25,K
6.09,29.05,K
26.00,82.04,K
26.04,87.52,K
63.70,45.52,K
31.42,148.34,K
23.33,127.67,K
43.67,168.99,K
42.60,52.33,K
3.04,37.60,K
8.31,14.96,K
49.42,41.01,C
18.67,111.03,C
55.10,112.36,C
11.92,106.61,C
18.64,9.24,C
53.74,124.57,C
50.29,143.80,C
66.73,15.04,C
61.96,30.34,C
60.77,163.79,C
55.28,39.00,C
25.82,104.22,C
40.40,128.18,C
57.61,69.77,C
5.04,47.65,C
18.11,13.27,C
64.99,82.50,C
24.50,18.25,C
51.68,38.35,C
56.36,14.78,C
2.76,108.49,C
29.13,125.77,C
24.83,96.43,C
19.93,46.51,C
10.38,124.21,C
18.34,70.44,C
27.06,73.80,P
12.78,136.81,P
43.22,47.08,P
17.96,122.44,P
2.43,58.67,P
23.80,164.80,P
27.32,22.62,P
33.62,130.21,P
5.85,13.05,P
13.68,47.80,P
61.97,160.62,P
58.82,99.24,P
11.22,46.03,P
29.50,84.97,P
39.44,157.16,P
17.63,83.80,P
61.04,18.86,P
37.02,30.25,P
25.44,40.34,P
3.04,139.81,P
34.24,153.40,P
46.87,165.32,P
52.58,51.79,P
25.51,109.36,P
58.40,159.86,P
19.08,154.72,P
64.06,71.92,L
54.23,45.06,L
49.11,141.53,L
18.80,49.36,L
47.70,95.17,L
43.37,97.20,L
12.58,30.76,L
8.88,62.03,L
62.95,7.57,L
38.39,167.47,L
9.57,30.18,L
45.06,75.93,L
19.17,130.93,L
25.38,167.07,L
47.34,27.85,L
53.83,8.83,L
25.23,79.09,L
46.24,69.07,L
2.58,161.16,L
49.43,110.67,L
28.27,27.86,L
8.86,38.78,L
30.78,40.22,L
52.52,13.50,L
29.70,144.22,L
54.42,100.04,L
