150,150
30,60,P
30,63,P
30,66,P
30,69,P
30,72,P
30,75,P
30,78,P
30,81,P
30,84,P
30,87,P
30,90,P
30,93,P
30,96,P
30,99,P
30,102,P
33,60,P
33,63,P
33,66,P
33,69,P
33,72,P
33,75,P
33,78,P
33,81,P
33,84,P
33,87,P
33,90,P
33,93,P
33,96,P
33,99,P
33,102,P
36,60,P
36,63,P
36,66,P
36,69,P
36,72,P
36,75,P
36,78,P
36,81,P
36,84,P
36,87,P
36,90,P
36,93,P
36,96,P
36,99,P
36,102,P
39,69,P
39,72,P
39,75,P
39,78,P
39,81,P
20,60,C
20,63,C
20,66,C
20,69,C
20,72,C
20,75,C
20,78,C
20,81,C
20,84,C
20,87,C
20,90,C
20,93,C
20,96,C
20,99,C
20,102,C
23,60,C
23,63,C
23,66,C
23,69,C
23,72,C
23,75,C
23,78,C
23,81,C
23,84,C
23,87,C
23,90,C
23,93,C
23,96,C
23,99,C
23,102,C
30,45,K
30,48,K
30,51,K
33,45,K
33,48,K
33,51,K
36,45,K
36,48,K
36,51,K
39,48,K
30,111,K
30,114,K
30,117,K
33,111,K
33,114,K
33,117,K
36,111,K
36,114,K
36,117,K
39,114,K
